workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
27,2022,adversarial robust and explainable network intrusion detection systems based on deep learning,"['k sauka', 'gy shin', 'dw kim', 'mm han']",applied sciences,google,28,77,9.3333333333333339,Q3,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_survey,nids,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,conferences
41,2023,a new data-balancing approach based on generative adversarial network for network intrusion detection system,"['m jamoos', 'am mora', 'm alkhanafseh', 'o surakhi']",electronics,google,14,45,7,Q4,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,conferences
73,2024,adversarial challenges in network intrusion detection systems: research insights and future prospects,"['s ennaji', 'f de gaspari', 'd hitaj', 'a kbidi']",arxiv preprint,google,2,22,2,,h5-index,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_not_in_final_corpus,no,conferences
74,2023,mcgan: modified conditional generative adversarial network (mcgan) for class imbalance problems in network intrusion detection system,"['ks babu', 'yn rao']",applied sciences,google,19,77,9.5,Q3,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,conferences
79,2023,review on the feasibility of adversarial evasion attacks and defenses for network intrusion detection systems,"['i debicha', 'b cochez', 't kenaza', 't debatty']",arxiv preprint,google,7,22,3.5,,h5-index,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_not_in_final_corpus,no,conferences
90,2022,a survey on data-driven learning for intelligent network intrusion detection systems,"['g abdelmoumin', 'j whitaker', 'db rawat', 'a rahman']",electronics,google,25,45,8.3333333333333339,Q4,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,conferences
96,2024,problem space structural adversarial attacks for network intrusion detection systems based on graph neural networks,"['a venturi', 'd stabili', 'm marchetti']",arxiv preprint,google,2,22,2,,h5-index,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,conferences
108,2023,a wasserstein generative adversarial network–gradient penalty-based model with imbalanced data enhancement for network intrusion detection,"['gc lee', 'jh li', 'zy li']",applied sciences,google,8,77,4,Q3,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,conferences
110,2023,one-dimensional convolutional wasserstein generative adversarial network based intrusion detection method for industrial control systems,"['z cai', 'h du', 'h wang', 'j zhang', 'y si', 'p li']",electronics,google,4,45,2,Q4,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,conferences
150,2025,adversarial sample generation based on model simulation analysis in intrusion detection systems,"['j sun', 's yang']",electronics,google,0,45,,Q4,h5-index+quartile,include,not_reviewed_at_this_stage,include,fail,not_survey,nids,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,conferences
