workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,screening_status,source_sheet
5,2023,adversarial machine learning attacks against intrusion detection systems: a survey on strategies and defense,"['a alotaibi', 'ma rassam']",future internet,google,91,,45.5,Q2,quartile,excluded,excluded
19,2024,flowgananomaly: flow-based anomaly network intrusion detection with adversarial learning,"['z li', 'p wang', 'z wang']",chinese journal of electronics,google,39,,39,Q3,quartile,excluded,excluded
20,2022,adaptative perturbation patterns: realistic adversarial learning for robust intrusion detection,"['j vitorino', 'n oliveira', 'i praça']",future internet,google,36,,12,Q2,quartile,excluded,excluded
38,2022,a comparative study on the impact of adversarial machine learning attacks on contemporary intrusion detection datasets,"['m pujari', 'y pacheco', 'b cherukuri', 'w sun']",sn computer science,google,12,,4,Q2,quartile,excluded,excluded
45,2024,pre-trained language model-enhanced conditional generative adversarial networks for intrusion detection,"['f li', 'h shen', 'j mai', 't wang', 'y dai', 'x miao']",peer-to-peer networking and applications,google,19,,19,Q2,quartile,excluded,excluded
50,2023,on the robustness of ml-based network intrusion detection systems: an adversarial and distribution shift perspective,"['m wang', 'n yang', 'dh gunasinghe', 'n weng']",computers,google,8,,4,Q2,quartile,excluded,excluded
57,2022,packet-level and flow-level network intrusion detection based on reinforcement learning and adversarial training,"['b yang', 'mh arshad', 'q zhao']",algorithms,google,13,,4.333333333333333,Q2,quartile,excluded,excluded
59,2024,ids-anta: an open-source code with a defense mechanism to detect adversarial attacks for intrusion detection system,"['k barik', 's misra']",software impacts,google,9,,9,Q3,quartile,excluded,excluded
60,2023,dynamic distributed generative adversarial network for intrusion detection system over internet of things,"['s balaji', 'ss narayanan']",wireless networks,google,16,,8,Q2,quartile,excluded,excluded
61,2022,gaainet: a generative adversarial artificial immune network model for intrusion detection in industrial iot systems,"['sp sithungu', 'em ehlers']",journal of advances in information technology,google,27,,9,Q3,quartile,excluded,excluded
62,2024,constrained optimization based adversarial example generation for transfer attacks in network intrusion detection systems,"['m chale', 'b cox', 'j weir', 'nd bastian']",optimization letters,google,11,,11,Q2,quartile,excluded,excluded
70,2024,evaluating the impact of generative adversarial models on the performance of anomaly intrusion detection,"['m arafah', 'i phillips', 'a adnane']",iet networks,google,7,,7,Q3,quartile,excluded,excluded
97,2023,network intrusion detection based on conditional wasserstein variational autoencoder with generative adversarial network and one-dimensional convolutional neural …,"['j he', 'x wang', 'y song', 'q xiang', 'c chen']",applied intelligence,google,18,,9,Q2,quartile,excluded,excluded
119,2022,mitigation of black-box attacks on intrusion detection systems-based ml,"['s alahmed', 'q alasad', 'mm hammood', 'js yuan']",computers,google,18,,6,Q2,quartile,excluded,excluded
122,2024,cloud intrusion detection framework using variational auto encoder wasserstein generative adversarial network optimized with archerfish hunting optimization …,"['g senthilkumar', 'k tamilarasi', 'jk periasamy']",wireless networks,google,8,,8,Q2,quartile,excluded,excluded
162,2022,improved bidirectional gan-based approach for network intrusion detection using one-class classifier,"['w xu', 'j jang-jaccard', 't liu', 'f sabrina', 'j kwak']",computers,google,30,,10,Q2,quartile,excluded,excluded
197,2024,current status and challenges and future trends of deep learning-based intrusion detection models,"['y wu', 'b zou', 'y cao']",journal of imaging,google,5,,5,Q2,quartile,excluded,excluded
242,2024,intrusion detection based on adaptive sample distribution dual-experience replay reinforcement learning,"['h tan', 'l wang', 'd zhu', 'j deng']",mathematics,google,8,,8,Q2,quartile,excluded,excluded
251,2022,a gan-based intrusion detection model for 5g enabled future metaverse,"['s ding', 'l kou', 't wu']",mobile networks and applications,google,52,,17.333333333333329,Q2,quartile,excluded,excluded
253,2023,a novel multi-module integrated intrusion detection system for high-dimensional imbalanced data,"['j cui', 'l zong', 'j xie', 'm tang']",applied intelligence,google,103,,51.5,Q2,quartile,excluded,excluded
265,2023,iot intrusion detection model based on gated recurrent unit and residual network,"['g zhao', 'c ren', 'j wang', 'y huang', 'h chen']",peer-to-peer networking and applications,google,11,,5.5,Q2,quartile,excluded,excluded
291,2022,an enhanced intrusion detection system for iot networks based on deep learning and knowledge graph,"['x yang', 'g peng', 'd zhang', 'y lv']",security and communication networks (discontinued),google,40,,13.33333333333333,-,quartile,excluded,excluded
296,2024,model-agnostic generation-enhanced technology for few-shot intrusion detection,"['j he', 'l yao', 'x li', 'mk khan', 'w niu', 'x zhang', 'f li']",applied intelligence,google,7,,7,Q2,quartile,excluded,excluded
297,2023,xa-ganomaly: an explainable adaptive semi-supervised learning method for intrusion detection using ganomaly,"['y han', 'h chang']","computers, materials and continua",google,7,,3.5,Q2,quartile,excluded,excluded
326,2024,a holistic review of machine learning adversarial attacks in iot networks,"['h khazane', 'm ridouani', 'f salahdine', 'n kaabouch']",future internet,google,23,,23,Q2,quartile,excluded,excluded
337,2022,deep q-learning based reinforcement learning approach for network intrusion detection,"['h alavizadeh', 'h alavizadeh', 'j jang-jaccard']",computers,google,161,,53.666666666666657,Q2,quartile,excluded,excluded
362,2023,dependable intrusion detection system using deep convolutional neural network: a novel framework and performance evaluation approach,"['v hnamte', 'j hussain']",telematics and informatics reports,google,64,,32,Q2,quartile,excluded,excluded
378,2023,an adversarial dbn-lstm method for detecting and defending against ddos attacks in sdn environments,"['l chen', 'z wang', 'r huo', 't huang']",algorithms,google,22,,11,Q2,quartile,excluded,excluded
380,2024,comparative analysis of machine learning models for intrusion detection systems,"['v sharma', 'm kumar']",panamerican mathematical journal,google,1,,1,Q4,quartile,excluded,excluded
442,2024,a transferable deep learning framework for improving the accuracy of internet of things intrusion detection,"['h kim', 's park', 'h hong', 'j park', 's kim']",future internet,google,4,,4,Q2,quartile,excluded,excluded
474,2023,"a systematic and comprehensive survey of recent advances in intrusion detection systems using machine learning: deep learning, datasets, and attack taxonomy","['a momand', 'su jan', 'n ramzan']",journal of sensors,google,38,,19,Q3,quartile,excluded,excluded
490,2024,enhancing intrusion detection systems with reinforcement learning: a comprehensive survey of rl-based approaches and techniques,"['f louati', 'fb ktata', 'i amous']",sn computer science,google,3,,3,Q2,quartile,excluded,excluded
492,2024,network intrusion detection system by learning jointly from tabular and text‐based features,"['b düzgün', 'a çayır', 'u ünal', 'h dağ']",expert systems,google,10,,10,Q2,quartile,excluded,excluded
503,2022,privacy‐enhanced intrusion detection and defense for cyber‐physical systems: a deep reinforcement learning approach,"['q lin', 'r ming', 'k zhang', 'h luo']",security and communication networks (discontinued),google,9,,3,-,quartile,excluded,excluded
505,2025,"a cutting-edge framework for industrial intrusion detection: privacy-preserving, cost-friendly, and powered by federated learning","['l zhu', 'b zhao', 'j guo', 'm ji', 'j peng']",applied intelligence,google,0,,,Q2,quartile,excluded,excluded
507,2023,toward improved machine learning-based intrusion detection for internet of things traffic,"['s alkadi', 's al-ahmadi', 'mm ben ismail']",computers,google,14,,7,Q2,quartile,excluded,excluded
517,2023,analyze textual data: deep neural network for adversarial inversion attack in wireless networks,['ma al ghamdi'],sn applied sciences,google,3,,1.5,Q2,quartile,excluded,excluded
535,2025,deep intrusion net: an efficient framework for network intrusion detection using hybrid deep tcn and gru with integral features,"['ya rani', 'es reddy']",wireless networks,google,3,,inf,Q2,quartile,excluded,excluded
540,2024,advanced hybrid transformer-cnn deep learning model for effective intrusion detection systems with class imbalance mitigation using resampling …,"['h kamal', 'm mashaly']",future internet,google,6,,6,Q2,quartile,excluded,excluded
