workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
1,2022,adversarial machine learning for network intrusion detection: a comparative study,"['h jmila', 'mi khedher']",computer networks,google,86,68,28.666666666666671,Q1,h5-index+quartile,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_not_in_final_corpus,no,journals
6,2022,adversarial attacks against supervised machine learning based network intrusion detection systems,"['e alshahrani', 'd alghazzawi', 'r alotaibi', 'o rabie']",plos one,google,37,,12.33333333333333,Q1,quartile,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,journals
10,2022,an enhanced ai-based network intrusion detection system using generative adversarial networks,"['c park', 'j lee', 'y kim', 'jg park', 'h kim']",ieee internet of things journal,google,162,,54,Q1,quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
11,2022,manda: on adversarial example detection for network intrusion detection system,"['n wang', 'y chen', 'y xiao', 'y hu', 'w lou']",ieee transactions on dependable and secure computing,google,103,,34.333333333333343,Q1,quartile,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,journals
12,2024,apollon: a robust defense system against adversarial machine learning attacks in intrusion detection systems,"['a paya', 's arroni', 'v garcía-díaz', 'a gómez']",computers and security,google,52,64,52,Q1,h5-index+quartile,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,journals
13,2023,a gradient-based approach for adversarial attack on deep learning-based network intrusion detection systems,"['h mohammadian', 'aa ghorbani', 'ah lashkari']",applied soft computing journal,google,44,103,22,Q1,h5-index+quartile,include,not_reviewed_at_this_stage,include,not_reviewed_at_this_stage,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,journals
14,2024,a simple framework to enhance the adversarial robustness of deep learning-based intrusion detection system,"['x yuan', 's han', 'w huang', 'h ye', 'x kong', 'f zhang']",computers and security,google,22,64,22,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
16,2023,development of a machine-learning intrusion detection system and testing of its performance using a generative adversarial network,"['ag mari', 'd zinca', 'v dobrota']",sensors,google,28,126,14,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
17,2024,enhancing network intrusion detection performance using generative adversarial networks,"['x zhao', 'kw fok', 'vll thing']",computers and security,google,11,64,11,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
18,2023,aidtf: adversarial training framework for network intrusion detection,"['wd xiong', 'kl luo', 'r li']",computers and security,google,13,64,6.5,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
