workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
0,2023,adversarial machine learning for network intrusion detection systems: a comprehensive survey,"['k he', 'dd kim', 'mr asghar']",ieee communications surveys & tutorials,google,243,,121.5,,none,include,not_reviewed_at_this_stage,include,pass,survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_not_in_final_corpus,no,unranked
2,2023,tad: transfer learning-based multi-adversarial detection of evasion attacks against network intrusion detection systems,"['i debicha', 'r bauwens', 't debatty', 'jm dricot']",future generation computer systems,google,52,,26,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
3,2022,idsgan: generative adversarial networks for attack generation against intrusion detection,"['z lin', 'y shi', 'z xue']",pacific-asia conference on knowledge discovery and data mining,google,437,,145.66666666666671,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
4,2022,adversarial attacks against deep learning-based network intrusion detection systems and defense mechanisms,"['c zhang', 'x costa-perez']",ieee/acm transactions on networking,google,109,,36.333333333333343,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
7,2022,modeling realistic adversarial attacks against network intrusion detection systems,"['g apruzzese', 'm andreolini', 'l ferretti']",… threats: research and …,google,143,,47.666666666666657,,none,include,not_reviewed_at_this_stage,include,pass,survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_not_in_final_corpus,no,unranked
8,2023,automatic evasion of machine learning-based network intrusion detection systems,"['h yan', 'x li', 'w zhang', 'r wang', 'h li']",transactions on dependable and secure computing,google,17,,8.5,,none,maybe_include,include,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
9,2022,investigating the practicality of adversarial evasion attacks on network intrusion detection,"['ma merzouk', 'f cuppens', 'n boulahia-cuppens']",annals of telecommunications,google,33,,11,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
15,2022,adversarial training against adversarial attacks for machine learning-based intrusion detection systems.,"['ms haroon', 'hm ali']","computers, materials & continua",google,11,,3.666666666666667,,none,include,not_reviewed_at_this_stage,include,fail,not_survey,nids,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
21,2022,adversarial examples for network intrusion detection systems,"['r sheatsley', 'n papernot', 'mj weisman']",journal of computer security,google,36,,12,,none,include,not_reviewed_at_this_stage,include,fail,not_survey,nids,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
23,2023,towards adversarial realism and robust learning for iot intrusion detection and classification,"['j vitorino', 'i praça', 'e maia']",annals of telecommunications,google,32,,16,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
24,2022,functionality-preserving adversarial machine learning for robust classification in cybersecurity and intrusion detection domains: a survey,"['a mccarthy', 'e ghadafi', 'p andriotis', 'p legg']",journal of cybersecurity and privacy,google,55,,18.333333333333329,,none,maybe_include,include,include,pass,survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_not_in_final_corpus,no,unranked
28,2023,a quantum generative adversarial network-based intrusion detection system,"['ma rahman', 'h shahriar', 'v clincy']",ieee …,google,15,,7.5,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
29,2023,investigating on the robustness of flow-based intrusion detection system against adversarial samples using generative adversarial networks,"['pt duy', 'nh khoa', 'h do hoang', 'vh pham']",journal of information security and Applications,google,20,,10,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
32,2022,intrusion detection system in wireless sensor network using conditional generative adversarial network,"['t sood', 's prakash', 's sharma', 'a singh']",wireless personal …,google,34,,11.33333333333333,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
34,2022,an unsupervised generative adversarial network based-host intrusion detection system for internet of things devices,"['i idrissi', 'm azizi', 'o moussaoui']",indones. j. electr. eng. comput. sci,google,42,,14,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
37,2023,adv-bot: realistic adversarial botnet attacks against network intrusion detection systems,"['i debicha', 'b cochez', 't kenaza', 't debatty', 'jm dricot']",computers & security,google,36,,18,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
39,2023,a novel deep learning based model to defend network intrusion detection system against adversarial attacks,"['k roshan', 'a zafar', 'sbu haque']",international conference on computing for sustainable global development,google,20,,10,,none,include,not_reviewed_at_this_stage,include,fail,not_survey,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
40,2022,n-gan: a novel anomaly-based network intrusion detection with generative adversarial networks,"['as iliyasu', 'h deng']",international journal of information technology,google,33,,11,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
42,2024,towards realistic problem-space adversarial attacks against machine learning in network intrusion detection,"['m catillo', 'a pecchia', 'a repola', 'u villano']","International Conference on Availability, Reliability and Security",google,3,,3,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
43,2024,canederli: on the impact of adversarial training and transferability on can intrusion detection systems,"['f marchiori', 'm conti']",ACM Workshop on Wireless Security and Machine Learning,google,2,,2,,none,include,not_reviewed_at_this_stage,include,fail,not_survey,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
44,2022,a stable generative adversarial network architecture for network intrusion detection,"['r soleymanzadeh', 'r kashef']",ieee international …,google,13,,4.333333333333333,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
46,2022,an adversarial approach for intrusion detection using hybrid deep learning model,"['m asaduzzaman', 'mm rahman']",… international conference on …,google,9,,3,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
48,2024,generating practical adversarial examples against learning-based network intrusion detection systems,"['v kumar', 'k kumar', 'm singh']",annals of telecommunications,google,4,,4,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
51,2023,a case study with cicids2017 on the robustness of machine learning against adversarial attacks in intrusion detection,"['m catillo', 'a del vecchio', 'a pecchia']","international conference on availability, reliability and security",google,5,,2.5,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
53,2024,progen: projection-based adversarial attack generation against network intrusion detection,"['m wang', 'n yang', 'nj forcade-perkins']",IEEE Transactions on Information Forensics and Security,google,5,,5,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
55,2024,exploring generative adversarial networks for augmenting network intrusion detection tasks,"['mg constantin', 'dc stanciu', 'ld ştefan']",acm transactions on …,google,3,,3,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
66,2022,gvids: a reliable vehicle intrusion detection system based on generative adversarial network,"['y zhao', 'y xun', 'j liu', 's ma']",globecom-ieee …,google,9,,3,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
68,2022,advances in adversarial attacks and defenses in intrusion detection system: a survey,"['m mbow', 'k sakurai', 'h koide']",… conference on science of cyber security,google,9,,3,,none,exclude,not_reviewed_at_this_stage,exclude,pass,survey,nids,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
69,2023,an adversarial robustness benchmark for enterprise network intrusion detection,"['j vitorino', 'm silva', 'e maia', 'i praça']",International Symposium on Foundations and Practice of Security,google,4,,2,,none,include,not_reviewed_at_this_stage,include,fail,not_survey,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
71,2024,a robust snmp-mib intrusion detection system against adversarial attacks,"['y alslman', 'm alkasassbeh', 'm almseidin']",Arabian Journal for Science and Engineering,google,5,,5,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
75,2024,constraining adversarial attacks on network intrusion detection systems: transferability and defense analysis,"['n alhussien', 'a aleroud', 'a melhem']",IEEE Transactions on Network and Service Management,google,5,,5,,none,include,not_reviewed_at_this_stage,include,pass,not_survey,nids,not_reviewed_at_this_stage,yes,yes,selected_for_taxonomy_mapping_final_corpus,yes,unranked
