Title;Paper;Year;Venue;Dataset;Model type;NIDS granularity;Surface;Phase;Position/Access;Knowledge;Goal;Attack technique;Defense technique;Code/Data availability;Evaluation metrics
adversarial attacks against deep learning-based network intrusion detection systems and defense mechanisms;Zhang?et al.;2022;TNET;CSE-CIC-IDS-2018;"CNN; Tabular NN; Sequence/Temporal";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Zeroth-order; Boundary-based;";"Ensemble; Adversarial retraining; OOD detector";Data-only;"Accuracy; Precision; Recall; F1; ASR"
adversarial attacks against supervised machine learning based network intrusion detection systems;Alshahrani?et al.;2022;PLOS ONE;CIC-IDS-2017;"Generative; Tree-based; Linear/Probabilistic";Flow-based;"Data-level; Feature-level";"Training-time; Inference-time ";"Insider limited; Insider privileged";Gray-box;"Integrity-Poisoning; Integrity-Evasion";Generative/Learning-based;None;Code+Data;"Accuracy; Precision; Recall; F1"
black box attack and network intrusion detection using machine learning for malicious traffic;Zhu?et al.;2022;COSE;"Kitsune-Mirai; CIC-IDS-2017; MAWILab; UNSW-NB15";"Anomaly-detection; Autoencoder; Tabular NN; Generative; Linear/Probabilistic; Sequence/Temporal";Packet-based;Network-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;"Ensemble; Generative/Learning-based";Code+Data;"Precision; Recall; F1; MRR (Misclassification Reduction Rate)"
classification and analysis of adversarial machine learning attacks in iot: a label flipping attack case study;Abrishami?et al.;2022;FRUCT;Bot-IoT;Linear/Probabilistic;Flow-based;Data-level;Training-time;Insider privileged;White-box;Integrity-Poisoning;Label-flipping;Label Sanitization;Data-only;"Accuracy; Precision; Recall; F1"
differentially private self-normalizing neural networks for adversarial robustness in federated learning;Ibitoye?et al.;2022;COSE;CTU-13;CNN;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;"Robust training; Adversarial retraining; Differential Privacy; Self-normalization";Data-only;"Accuracy; Privacy loss"
elat: ensemble learning with adversarial training in defending against evaded intrusions;Lin?et al.;2022;JISA;CIC-IDS-2017;"Ensemble; Tabular NN; Linear/Probabilistic; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;"Gradient-based; Zeroth-order; Surrogate/Transfer-based";"Ensemble; Adversarial retraining";Data-only;"F1; AUC"
evaluating deep learning-based nids in adversarial settings;Mohammadian?et al.;2022;ICISSP;"CIC-IDS-2017; CIC-DDoS-2019";Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;None;Data-only;"F1; Precision; Recall"
evaluation of data poisoning attacks on federated learning-based network intrusion detection system;Zhang?et al.;2022;HPCC;"NSL-KDD; UNSW-NB15";"CNN; Tabular NN";Flow-based;Data-level;Training-time;Insider privileged;White-box;Integrity-Poisoning;"Generative/Learning-based; Gradient-based";OOD detector;Data-only;"Accuracy; Recall; ASR"
fence: feasible evasion attacks on neural networks in constrained environments;Chernikova and Oprea;2022;TOPS;CTU-13;"Tabular NN; Linear/Probabilistic; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; ; Surrogate/Transfer";Adversarial retraining;Data-only;"AUC; ASR; FNR"
fgmd: a robust detector against adversarial attacks in the iot network;Jiang et al.;2022;FGCS;"MedBIoT; IoTID20";"Ensemble; Sequence/Temporal; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Heuristic/Search-based;Ensemble;Data-only;"Accuracy; Precision; Recall; F1; FPR; AS (Attack Severity)"
generating adversarial examples against machine learning-based intrusion detector in industrial control systems;Chen et al.;2022;TDSC;Custom capture;Ensemble;Packet-based;Network-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Zeroth-order; Generative/Learning-based";Adversarial retraining;None;"Precision; Recall; F1; ASR"
generating practical adversarial network traffic flows using nidsgan;Zolbayar et al.;2022;arXiv;"NSL-KDD; CIC-IDS-2017";"Tabular NN; KNN; Linear/Probabilistic; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Generative/Learning-based; Surrogate/Transfer-based";None;Data-only;"Accuracy; Precision; Recall; F1; ASR"
hierarchical adversarial attacks against graph-neural-network-based iot network intrusion detection system;Zhou?et al.;2022;IoTJ;UNSW-SOSR-2019;Graph-based NN;Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; Surrogate/Transfer-based";None;Data-only;"Precision; Loss"
idsgan: generative adversarial networks for attack generation against intrusion detection;Lin et al.;2022;PAKDD;NSL-KDD;"Tabular NN; Generative; Linear/Probabilistic; KNN; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;None;Data-only;"Recall; EIR"
investigating the practicality of adversarial evasion attacks on network intrusion detection;Merzouk?et al.;2022;AnnalsTelecom;NSL-KDD, UNSW-NB15, CIDDS-001;Tabular NN;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;None;Code+Data;"Accuracy; Recall"
